========================================
  RAPPORT DE COMPILATION — ESD113
========================================
Plateforme           unix
OS                   Ubuntu 24.04.4 LTS
Version R            R version 4.6.0 (2026-04-24)
Processeur           AMD EPYC 7R13 Processor
Coeurs logiques      16
RAM totale (Go)      132.2
Début phase knitr   24/05/2026 07:29:12
[KNITR_START] 24/05/2026 07:29:12
========================================
TEMPS PAR CHUNK :
[TIMER] seq-entiers                         : 0.06 sec
[TIMER] seq-cdm                             : 0.00 sec
[TIMER] base-r                              : 0.02 sec
[TIMER] tidyverse-select                    : 0.01 sec
[TIMER] tbl-stats-desc                      : 0.05 sec
[TIMER] hist-base                           : 0.01 sec
[TIMER] filter-mpg                          : 0.01 sec
[TIMER] ggplot-hist                         : 0.33 sec
[TIMER] load-data                           : 0.89 sec
[TIMER] pivot-exemple                       : 0.13 sec
[TIMER] pivot-keno                          : 0.01 sec
[TIMER] freq-boules                         : 0.06 sec
[TIMER] format-dates                        : 0.02 sec
[TIMER] tbl-palmares-pdf                    : 0.05 sec
[TIMER] tbl-keno-long                       : 0.23 sec
[TIMER] barchart-freq                       : 0.24 sec
[TIMER] polar-chart                         : 0.16 sec
[TIMER] tbl-proba-gain                      : 0.02 sec
[TIMER] tbl-tableau-gains                   : 0.02 sec
[TIMER] gains-data                          : 0.01 sec
[TIMER] gains-calcul-long                   : 0.06 sec
[TIMER] tbl-gains-tableau-10                : 0.03 sec
[TIMER] tbl-gains-tableau-complet           : 0.12 sec
[TIMER] tbl-esperances-grilles              : 0.09 sec
[TIMER] plot-esperances                     : 0.25 sec
[TIMER] esperance                           : 0.01 sec
[TIMER] montecarlo-simple                   : 0.01 sec
[TIMER] montecarlo-replicate                : 0.01 sec
[TIMER] montecarlo-proba                    : 0.09 sec
[TIMER] montecarlo-grande-echelle           : 1.74 sec
[TIMER] packages-clustering                 : 0.75 sec
[TIMER] tbl-params-simulation               : 0.01 sec
[TIMER] fig-simul-donnees                   : 0.70 sec
[TIMER] fig-elbow                           : 0.25 sec
[TIMER] var1-manuelle                       : 0.27 sec
[TIMER] var2-for                            : 0.26 sec
[TIMER] var3-sapply                         : 0.24 sec
[TIMER] var4-purrr                          : 0.54 sec
[TIMER] var5-broom                          : 0.27 sec
[TIMER] var6-factoextra                     : 0.91 sec
[TIMER] tbl-synthese-variations             : 0.01 sec
[TIMER] fig-kmeans-eval                     : 0.34 sec
[TIMER] perf-kmeans                         : 0.02 sec
[TIMER] tbl-perf-kmeans                     : 0.01 sec
[TIMER] fig-dendro-simple                   : 0.39 sec
[TIMER] fig-dendro-color                    : 32.86 sec
[TIMER] fig-dendro-circular                 : 13.59 sec
[TIMER] mclust-fit                          : 1.48 sec
[TIMER] tbl-bic-top                         : 0.01 sec
[TIMER] fig-mclust-hull-v2                  : 0.45 sec
[TIMER] tbl-perf-mclust                     : 0.01 sec
[TIMER] fig-mclust-bic-fviz-v2              : 1.87 sec
[TIMER] fig-mclust-ellipses-v2              : 0.25 sec
[TIMER] fig-mclust-uncertainty-v2           : 0.21 sec
[TIMER] tbl-comparaison-methodes            : 0.14 sec
[TIMER] tbl-sysinfo-v7                      : 0.02 sec
[TIMER] tbl-timers-v7                       : 0.09 sec
[TIMER] tbl-bilan-phases                    : 0.03 sec
[KNITR_END]   24/05/2026 07:30:19
[KNITR_TOTAL] 66.5 sec

Compilation totale terminée : 24/05/2026 07:30:19
[TIMER] timer-final                         : 0.01 sec
